OMB Control No,Agency/Sub,Title,Request Type,Date Received,Concluded Date,Conclusion Action,Current Expiration Date,No. of ICs,No. of Forms,AdminYear,Web_ICR Ref. No.,Web_Request Type,Web_Date Received By OIRA,Web_Conclusion Date,Web_Conclusion Action,Request Year
0960-0754,SSA,Cost Reimbursable Research Request,Revision of a currently approved collection,7/2/2013 0:00,8/29/2013 0:00,Approved without change,4/30/2016 0:00,1,3,2016,201304-0960-003,Discontinue,4/5/2016,4/11/2016,Approved,2016
0960-0785,SSA,Benefit Offset National Demonstration (BOND) Project,Revision of a currently approved collection,2/3/2014 0:00,3/7/2014 0:00,Approved without change,12/31/2016 0:00,9,0,2016,201309-0960-001,Discontinue,9/13/2016,10/13/2016,Approved,2016
0970-0163,HHS/ACF,Child Care and Development Fund Quarterly Financial Report,Revision of a currently approved collection,2/4/2013 0:00,5/2/2013 0:00,Approved without change,6/30/2016 0:00,1,1,2016,202103-0970-008,Reinstatement without change of a previously approved collection,3/24/2021,6/4/2021,Withdrawn,2021
0970-0195,HHS/ACF,Child Care and Development Fund Annual Financial Report for Tribes (CCDF),Revision of a currently approved collection,2/4/2013 0:00,5/2/2013 0:00,Approved without change,6/30/2016 0:00,1,1,2016,202103-0970-007,Reinstatement without change of a previously approved collection,3/24/2021,6/4/2021,Withdrawn,2021
0970-0248,HHS/ACF,Instructions for Annual Report on State Maintenance-of-Effort Programs: Form ACF-204,Extension without change of a currently approved collection,12/22/2014 0:00,3/2/2015 0:00,Approved without change,10/31/2016 0:00,1,1,2016,202212-0970-003,Reinstatement without change of a previously approved collection,12/7/2022,3/15/2023,Approved without change,2022
0970-0345,HHS/ACF,Tribal TANF Financial Report (ACF-196T),Extension without change of a currently approved collection,5/24/2016 0:00,5/10/2013 0:00,Approved,6/23/2016 0:00,1,1,2016,202212-0970-015,Revision of a currently approved collection,1/3/2023,3/15/2023,Approved without change,2023
0970-0364,HHS/ACF,HHS/ACF/OPRE Head Start Classroom-based Approaches and Resources for Emotion and Social skill promotion (CARES) project: Tracking Participants,Revision of a currently approved collection,5/22/2013 0:00,8/6/2013 0:00,Approved with change,9/7/2016 0:00,3,0,2016,201305-0970-003,Discontinue,8/26/2016,9/7/2016,Approved,2016
0970-0377,HHS/ACF,Cross-site Evaluation of the Children's Bureau's Child Welfare Technical Assistance Implementation Centers and National Child Welfare Resource Centers,Revision of a currently approved collection,2/14/2013 0:00,5/15/2013 0:00,Approved without change,5/31/2016 0:00,11,23,2016,201302-0970-004,Discontinue,3/29/2016,4/1/2016,Approved,2016
0970-0388,HHS/ACF,Tracking of Participants in the Early Head Start Research and Evaluation Project,Reinstatement with change of a previously approved collection,2/25/2013 0:00,6/5/2013 0:00,Approved with change,7/31/2016 0:00,2,0,2016,201302-0970-006,Discontinue,6/27/2016,7/12/2016,Approved,2016
0970-0403,HHS/ACF,Parents and Children Together (PACT) Evaluation,Revision of a currently approved collection,10/30/2013 0:00,12/9/2013 0:00,Approved with change,12/31/2016 0:00,23,0,2016,201310-0970-004,Discontinue,12/19/2016,12/19/2016,Approved,2016
0970-0443,HHS/ACF,Evaluation of the Head Start Designation Renewal System,New collection (Request for a new OMB Control Number),8/15/2013 0:00,1/6/2014 0:00,Approved without change,1/31/2016 0:00,12,0,2016,201308-0970-001,Discontinue,1/13/2016,1/22/2016,Approved,2016
0970-0445,HHS/ACF,Planning Grants to Develop a Model Intervention for Youth/Young Adults with Child Welfare Involvement At-Risk of Homelessness,No material or nonsubstantive change to a currently approved collection,10/17/2014 0:00,11/19/2014 0:00,Approved with change,4/30/2016 0:00,5,0,2016,201805-0970-005,Extension without change of a currently approved collection,5/14/2018,6/26/2018,Approved without change,2018
0970-0458,HHS/ACF,Generic Clearance for Grant Reviewer Recruiter Form,New collection (Request for a new OMB Control Number),4/2/2015 0:00,6/22/2015 0:00,Approved without change,5/31/2016 0:00,1,0,2016,201503-0970-008,Discontinue,5/27/2016,5/31/2016,Approved,2016
0970-0459,HHS/ACF,Temporary Assistance for Needy Families Study (Two-Parent TANF),New collection (Request for a new OMB Control Number),3/18/2015 0:00,6/26/2015 0:00,Approved with change,7/12/2016 0:00,6,0,2016,201503-0970-004,Discontinue,6/27/2016,7/12/2016,Approved,2016
0970-0468,HHS/ACF,"Accomplishments of the Domestic Violence Hotline, Online Connections and Text (ADVHOCaT) Study",New collection (Request for a new OMB Control Number),9/23/2015 0:00,12/1/2015 0:00,Approved with change,12/31/2016 0:00,1,0,2016,201801-0970-006,Discontinue,7/2/2019,7/8/2019,Approved,2019
0970-0470,HHS/ACF,Youth Education and Relationship Services (YEARS),No material or nonsubstantive change to a currently approved collection,10/31/2016 0:00,11/13/2016 0:00,Approved without change,12/31/2016 0:00,6,0,2016,201610-0970-026,Discontinue,12/19/2016,12/20/2016,Approved,2016
0985-0035,HHS/ACL,Evaluation of the Aging Disability Resource Center Program,New collection (Request for a new OMB Control Number),8/17/2012 0:00,1/14/2013 0:00,Approved with change,1/31/2016 0:00,1,1,2016,201208-0985-003,Discontinue,1/29/2016,1/29/2016,Approved,2016
0985-0044,HHS/ACL,State Plan for Independent Living (SPIL) for the State Independent Living Services and Center for Independent Living programs,Extension without change of a currently approved collection,5/18/2015 0:00,5/18/2015 0:00,Approved without change,2/4/2016 0:00,1,1,2016,202303-0985-002,Revision of a currently approved collection,3/23/2023,4/25/2023,Approved without change,2023
0985-0045,HHS/ACL,Assurances for the Protection and Advocacy for Assistive Technology (PAAT) Program,Extension without change of a currently approved collection,5/18/2015 0:00,5/18/2015 0:00,Approved without change,11/30/2016 0:00,1,1,2016,201505-0985-005,Discontinue,11/29/2016,11/30/2016,Approved,2016
0985-0053,HHS/ACL,Application for Grants under Disability and Rehabilitation Research (1894-0001),Extension without change of a currently approved collection,3/15/2016 0:00,3/15/2016 0:00,Approved without change,5/31/2016 0:00,7,0,2016,201603-0985-002,Discontinue,5/27/2016,5/31/2016,Approved,2016
0990-0308,HHS/HHSDM,The Effect of Reducing Falls on Acute and Long -Term Care Expenses,Extension without change of a currently approved collection,6/28/2013 0:00,8/12/2013 0:00,Approved without change,8/31/2016 0:00,6,0,2016,201306-0990-003,Discontinue,8/16/2016,8/17/2016,Approved,2016
0990-0360,HHS/HHSDM,Girls at Greater Risk for Juvenile Delinquency and HIV Prevention Program,Extension without change of a currently approved collection,9/30/2013 0:00,9/30/2013 0:00,Approved without change,9/30/2016 0:00,9,0,2016,201309-0990-002,Discontinue,8/31/2016,9/6/2016,Approved,2016
0990-0405,HHS/HHSDM,TPP Replication Study Follow Up Data Collection,New collection (Request for a new OMB Control Number),12/3/2012 0:00,3/1/2013 0:00,Approved with change,4/30/2016 0:00,3,3,2016,201212-0990-001,Discontinue,4/11/2016,4/11/2016,Approved,2016
0990-0415,HHS/HHSDM,Survey of Physician Time Use Patterns under the Medicare Fee Schedule,New collection (Request for a new OMB Control Number),6/26/2013 0:00,9/26/2013 0:00,Approved without change,9/30/2016 0:00,2,0,2016,201306-0990-002,Discontinue,9/15/2016,9/29/2016,Approved,2016
1010-0181,DOI/BOEM,Southern Alaska Sharing Network & Subsistence Study,Revision of a currently approved collection,1/16/2013 0:00,8/29/2013 0:00,Approved with change,7/31/2016 0:00,1,0,2016,201211-1010-001,Discontinue,2/25/2016,2/29/2016,Approved,2016
1018-0151,DOI/FWS,"Long-Term Eagle Take Programmatic Permits, 50 CFR 13 and 22",Revision of a currently approved collection,1/8/2014 0:00,1/8/2014 0:00,Approved without change,12/31/2016 0:00,15,6,2016,201401-1018-002,Discontinue,11/21/2016,11/21/2016,Approved,2016
1018-0157,DOI/FWS,Survey of Rancher Opinions about Wildlife and Jaguar Habitat Management,New collection (Request for a new OMB Control Number),7/2/2014 0:00,8/7/2014 0:00,Approved with change,11/30/2016 0:00,3,0,2016,201406-1018-001,Discontinue,11/21/2016,11/21/2016,Approved,2016
1024-0048,DOI/NPS,"Urban Park and Recreation Recovery Program Grants, 36 CFR 72",Revision of a currently approved collection,9/10/2013 0:00,10/24/2013 0:00,Approved without change,10/31/2016 0:00,8,3,2016,201308-1024-002,Discontinue,9/19/2016,9/19/2016,Approved,2016
1024-0267,DOI/NPS,Social Values of Ecosystem Services at Cape Lookout National Seashore,New collection (Request for a new OMB Control Number),5/28/2013 0:00,7/10/2013 0:00,Approved with change,1/31/2016 0:00,4,0,2016,201302-1024-001,Discontinue,1/8/2016,1/10/2016,Approved,2016
1028-0095,DOI/GS,National Institutes for Water Resources (NIWR) USGS Competitive Grant Program,Extension without change of a currently approved collection,1/11/2013 0:00,3/15/2013 0:00,Approved without change,3/31/2016 0:00,2,0,2016,201211-1028-003,Discontinue,3/8/2016,3/8/2016,Approved,2016
1093-0007,DOI/OS,Tribal Expression of Interest to the Land Buy-Back Program for Tribal Nations,New collection (Request for a new OMB Control Number),10/21/2015 0:00,10/27/2015 0:00,Approved without change,4/30/2016 0:00,3,1,2016,201510-1093-001,Discontinue,4/25/2016,4/25/2016,Approved,2016
1103-0112,DOJ/DOJADM,Enhancing Community Policing Through Community Mediation Surveys,New collection (Request for a new OMB Control Number),4/17/2013 0:00,8/21/2013 0:00,Approved with change,8/31/2016 0:00,2,3,2016,201304-1103-002,Discontinue,8/10/2016,8/10/2016,Approved,2016
1103-0113,DOJ/DOJADM,Milwaukee Police Department Stress Resiliency Questionnaires,New collection (Request for a new OMB Control Number),9/9/2013 0:00,10/1/2013 0:00,Approved with change,8/31/2016 0:00,1,5,2016,201309-1103-001,Discontinue,8/16/2016,8/18/2016,Approved,2016
1105-0098,DOJ/LA,Claims of United States Nationals Against Iraq,New collection (Request for a new OMB Control Number),2/13/2013 0:00,3/20/2013 0:00,Approved without change,3/31/2016 0:00,1,1,2016,201301-1105-001,Discontinue,1/14/2016,1/14/2016,Approved,2016
1110-0061,DOJ/FBI,"Federal Bureau of Investigation Interstate Identification Index (III), Next Generation Identification (NGI), Request to Change III/NGI Base Identifier(s) (1-542)",Revision of a currently approved collection,8/19/2015 0:00,10/19/2015 0:00,Approved without change,4/30/2016 0:00,1,1,2016,201505-1110-003,Discontinue,4/5/2016,4/6/2016,Approved,2016
1121-0170,DOJ/OJP,Crime Victim Compensation State Certification Form,Reinstatement without change of a previously approved collection,10/22/2012 0:00,2/27/2013 0:00,Approved without change,2/29/2016 0:00,1,2,2016,201210-1121-001,Discontinue,2/11/2016,2/11/2016,Approved,2016
1121-0255,DOJ/OJP,2013 Census of Law Enforcement Training Academies,Reinstatement with change of a previously approved collection,7/9/2013 0:00,9/3/2013 0:00,Approved with change,9/30/2016 0:00,1,2,2016,202301-1121-001,Discontinue,12/15/2025,12/19/2025,Approved,2025
1121-0260,DOJ/OJP,Police Public Contact Survey (PPCS),Reinstatement without change of a previously approved collection,4/6/2015 0:00,5/22/2015 0:00,Approved without change,12/31/2016 0:00,1,2,2016,202202-1121-001,Discontinue,1/31/2025,3/4/2025,Approved,2025
1121-0333,DOJ/OJP,Teen Dating Relationships Opportunities for Youth to Define What's Healthy and Unhealthy (Pilot study),Reinstatement with change of a previously approved collection,3/27/2013 0:00,5/14/2013 0:00,Approved without change,5/31/2016 0:00,1,1,2016,201303-1121-005,Discontinue,5/25/2016,5/26/2016,Approved,2016
1140-0053,DOJ/ATF,Training Registration Request for Non-ATF Employees,Extension without change of a currently approved collection,10/30/2013 0:00,1/2/2014 0:00,Approved without change,10/31/2016 0:00,1,1,2016,201310-1140-001,Discontinue,10/3/2016,10/3/2016,Approved,2016
1140-0065,DOJ/ATF,Requisition for Forms or Publications and Requisition for Firearms/Explosives Forms,Extension without change of a currently approved collection,6/20/2013 0:00,8/19/2013 0:00,Approved without change,4/30/2016 0:00,1,2,2016,201305-1140-002,Discontinue,4/5/2016,4/6/2016,Approved,2016
1140-0092,DOJ/ATF,Voluntary Magazine Questionnaire For Agencies/Entities Who Store Explosive Materials,Extension without change of a currently approved collection,11/15/2012 0:00,1/22/2013 0:00,Approved without change,1/31/2016 0:00,1,0,2016,202507-1140-003,Revision of a currently approved collection,7/23/2025,,,2025
1205-0473,DOL/ETA,Pell Grants and the Payment of Unemployment Benefits to Individuals in Approved Training,Extension without change of a currently approved collection,12/20/2012 0:00,1/24/2013 0:00,Approved without change,1/31/2016 0:00,1,0,2016,201210-1205-008,Discontinue,11/2/2015,11/4/2015,Approved,2015
1205-0478,DOL/ETA,"American Recovery and Reinvestment Act High Growth and Emerging Industries and other Grants, Performance Data",Extension without change of a currently approved collection,11/13/2013 0:00,12/27/2013 0:00,Approved without change,9/30/2016 0:00,3,1,2016,201306-1205-009,Discontinue,6/7/2016,6/20/2016,Approved,2016
1205-0500,DOL/ETA,Middle Class Tax Relief and Job Creation Act of 2012 State Monitoring,Extension without change of a currently approved collection,12/13/2012 0:00,1/24/2013 0:00,Approved without change,1/31/2016 0:00,1,0,2016,201210-1205-006,Discontinue,11/1/2015,11/4/2015,Approved,2015
1205-0506,DOL/ETA,"Follow-Up Survey Information for Green Jobs and Health Care Impact Evaluation, American Recovery Reinvestment Act Grants",No material or nonsubstantive change to a currently approved collection,8/29/2013 0:00,9/6/2013 0:00,Approved without change,1/31/2016 0:00,1,0,2016,201308-1205-001,Discontinue,11/6/2015,11/9/2015,Approved,2015
1205-0511,DOL/ETA,Veterans Retraining Assistance Participant Outreach Reporting,Extension without change of a currently approved collection,11/15/2013 0:00,12/27/2013 0:00,Approved without change,9/30/2016 0:00,2,0,2016,201306-1205-007,Discontinue,6/8/2016,6/20/2016,Approved,2016
1210-0135,DOL/EBSA,Request to the Department of Labor for Expedited Review of Denial of COBRA Premium Reduction,Extension without change of a currently approved collection,11/27/2012 0:00,1/31/2013 0:00,Approved without change,1/31/2016 0:00,2,2,2016,201210-1210-002,Discontinue,11/6/2015,11/23/2015,Approved,2015
1210-0154,DOL/EBSA,Focus Groups for Evaluating the Effectiveness of Employee Retirement Income Security Act Section 408(b)(2) Disclosure Requirements,No material or nonsubstantive change to a currently approved collection,4/3/2015 0:00,4/23/2015 0:00,Approved without change,5/31/2016 0:00,1,0,2016,201503-1210-004,Discontinue,4/21/2016,5/6/2016,Approved,2016
1218-0190,DOL/OSHA,"Electrical Protective Equipment (1910.137), and Electric Power Generation, Transmission, and Distribution (1910.269)",Extension without change of a currently approved collection,3/29/2013 0:00,6/10/2013 0:00,Approved without change,6/30/2016 0:00,1,0,2016,201303-1218-002,Discontinue,6/7/2016,6/8/2016,Approved,2016
1220-0104,DOL/BLS,"Displaced Worker, Job Tenure, and Occupational Mobility Supplement to CPS",Reinstatement without change of a previously approved collection,11/18/2013 0:00,12/20/2013 0:00,Approved without change,12/31/2016 0:00,1,0,2016,202509-1220-001,Reinstatement without change of a previously approved collection,11/13/2025,12/4/2025,Approved without change,2025
1230-0006,DOL/ODEP,Disability Employment Initiative Evaluation,New collection (Request for a new OMB Control Number),4/9/2012 0:00,1/30/2013 0:00,Approved with change,2/29/2016 0:00,5,0,2016,201104-1230-001,Discontinue,1/21/2016,2/29/2016,Approved,2016
1235-0028,DOL/WHD,Worker Classification Survey,New collection (Request for a new OMB Control Number),11/8/2013 0:00,5/14/2014 0:00,Approved with change,12/31/2016 0:00,2,0,2016,201303-1235-002,Discontinue,10/19/2016,11/7/2016,Approved,2016
1290-0009,DOL/OS,Longitudinal Study of Unemployment Insurance Recipients,New collection (Request for a new OMB Control Number),2/10/2014 0:00,7/3/2014 0:00,Approved with change,8/4/2016 0:00,1,6,2016,201308-1290-001,Discontinue,7/27/2016,8/4/2016,Approved,2016
1405-0139,STATE/AFA,Department of State Application for Employment,Extension without change of a currently approved collection,4/16/2014 0:00,6/18/2014 0:00,Approved without change,10/31/2016 0:00,1,1,2016,201404-1405-004,Discontinue,10/26/2016,10/26/2016,Approved,2016
1405-0159,STATE/AFA,Application for Additional Visa Pages or Miscellaneous Passport Services,Revision of a currently approved collection,8/20/2013 0:00,10/24/2013 0:00,Approved with change,10/31/2016 0:00,1,1,2016,201308-1405-007,Discontinue,10/13/2016,10/20/2016,Approved,2016
1405-0161,STATE/AFA,Department of State Mentor-Protege Program Application,Extension without change of a currently approved collection,5/12/2014 0:00,8/11/2014 0:00,Approved with change,10/31/2016 0:00,1,1,2016,201405-1405-001,Discontinue,10/18/2016,10/20/2016,Approved,2016
1505-0196,TREAS/DO,Litigation Management - Information Collection Regarding Proposed Settlements,Extension without change of a currently approved collection,10/24/2013 0:00,12/27/2013 0:00,Approved without change,1/1/2017 0:00,1,1,2016,201305-1505-002,Discontinue,12/30/2016,1/1/2017,Approved,2016
1505-0197,TREAS/DO,Recordkeeping Requirements for Insurers Compensated Under Terrorism Risk Insurance Program,Extension without change of a currently approved collection,10/24/2013 0:00,12/27/2013 0:00,Approved without change,1/1/2017 0:00,1,0,2016,201305-1505-001,Discontinue,12/30/2016,1/1/2017,Approved,2016
1505-0207,TREAS/DO,Recoupment Provisions of the Terrorism Risk Insurance Act (TRIA),Revision of a currently approved collection,11/30/2012 0:00,3/25/2013 0:00,Approved without change,3/31/2016 0:00,2,4,2016,201205-1505-005,Discontinue,3/31/2016,3/31/2016,Approved,2016
1505-0252,TREAS/DO,Evaluation of My Classroom Economy Program,New collection (Request for a new OMB Control Number),3/20/2015 0:00,8/4/2015 0:00,Approved with change,8/31/2016 0:00,1,0,2016,201503-1505-004,Discontinue,6/29/2016,7/22/2016,Approved,2016
1505-0253,TREAS/DO,Collection of Data from Property and Casualty Insurers for a Report on the Effectiveness of the Terrorism Risk Insurance Program,New collection (Request for a new OMB Control Number),2/3/2016 0:00,2/9/2016 0:00,Approved without change,9/2/2016 0:00,2,2,2016,201601-1505-005,Discontinue,8/31/2016,9/2/2016,Approved,2016
1505-0254,TREAS/DO,Hardest Hit Fund Application,New collection (Request for a new OMB Control Number),2/19/2016 0:00,2/19/2016 0:00,Approved without change,8/31/2016 0:00,1,0,2016,201602-1505-002,Discontinue,6/28/2016,7/22/2016,Approved,2016
1510-0056,USDA/FSA,ACH Vendor/Miscellaneous Payment Form,RCF New,6/8/2016 0:00,6/8/2016 0:00,Approved without change,9/7/2016 0:00,1,1,2016,201609-1510-001,Discontinue,3/29/2017,3/29/2017,Approved,2017
1510-0056,EPA/OMS,General Administrative Requirements for Assistance Programs. SF 3881 - ACH VENDOR/MISCELLANEOUS PAYMENT ENROLLMENT FORM.,RCF Recertification,6/6/2016 0:00,6/6/2016 0:00,Approved,9/7/2016 0:00,1,1,2016,201609-1510-001,Discontinue,3/29/2017,3/29/2017,Approved,2017
1525-0015,TREAS/MINT,Quanitative Consumer Research - US Mint Customer Spend Trajectory Research,Extension without change of a currently approved collection,2/28/2014 0:00,4/3/2015 0:00,Approved without change,2/29/2016 0:00,1,0,2016,201402-1525-001,Discontinue,2/12/2016,2/12/2016,Approved,2016
1530-0043,TREAS/FISCAL,"Regulations Governing Book-entry Treasury Bonds, Notes and Bills",Extension without change of a currently approved collection,9/10/2014 0:00,9/10/2014 0:00,Approved without change,3/31/2016 0:00,1,0,2016,201409-1530-007,Discontinue,3/25/2016,3/25/2016,Approved,2016
1545-0041,TREAS/IRS,Corporation Dissolution or Liquidation,Extension without change of a currently approved collection,9/30/2013 0:00,11/19/2013 0:00,Approved without change,4/29/2016 0:00,1,1,2016,201308-1545-012,Discontinue,4/22/2016,4/29/2016,Approved,2016
1545-0044,TREAS/IRS,Corporation Claim for Deduction for Consent Dividends,Extension without change of a currently approved collection,6/27/2013 0:00,8/19/2013 0:00,Approved without change,8/31/2016 0:00,1,1,2016,201306-1545-009,Discontinue,8/5/2016,8/5/2016,Approved,2016
1545-0045,TREAS/IRS,"Claim for Deficiency Dividends Deductions by a Personal Holding Company, Regulated Investment Company, or Real Estate Investment Trust",Extension without change of a currently approved collection,6/27/2013 0:00,8/1/2013 0:00,Approved without change,3/31/2016 0:00,1,1,2016,201306-1545-010,Discontinue,3/16/2016,3/18/2016,Approved,2016
1545-0046,TREAS/IRS,Form 982--Reduction of Tax Attributes Due to Discharge of Indebtedness (and Section 1082 Basis Adjustment),Extension without change of a currently approved collection,11/30/2012 0:00,1/15/2013 0:00,Approved without change,1/31/2016 0:00,1,1,2016,202409-1545-002,Extension without change of a currently approved collection,11/29/2024,1/13/2025,Approved without change,2024
1545-0129,TREAS/IRS,U.S. Income Tax Return for Certain Political Organizations,Extension without change of a currently approved collection,12/17/2012 0:00,2/21/2013 0:00,Approved without change,2/29/2016 0:00,1,1,2016,201211-1545-008,Discontinue,2/12/2016,2/12/2016,Approved,2016
1545-0130,TREAS/IRS,U.S. Income Tax Return for an S Corporation,No material or nonsubstantive change to a currently approved collection,12/18/2013 0:00,11/7/2014 0:00,Approved without change,5/31/2016 0:00,7,6,2016,201308-1545-004,Discontinue,5/20/2016,5/20/2016,Approved,2016
1545-0135,TREAS/IRS,Extension of Time for Payment of Taxes by a Corporation Expecting a Net Operating Loss Carryback.,Extension without change of a currently approved collection,3/28/2013 0:00,5/16/2013 0:00,Approved without change,3/31/2016 0:00,1,1,2016,201301-1545-013,Discontinue,3/11/2016,3/11/2016,Approved,2016
1545-0142,TREAS/IRS,Underpayment of Estimated Tax by Corporations,Extension without change of a currently approved collection,4/29/2013 0:00,6/26/2013 0:00,Approved without change,7/22/2016 0:00,1,1,2016,201304-1545-002,Discontinue,6/27/2016,7/22/2016,Approved,2016
1545-0144,TREAS/IRS,Undistributed Capital Gains Tax Return,Extension without change of a currently approved collection,11/30/2012 0:00,1/10/2013 0:00,Approved without change,1/31/2016 0:00,1,1,2016,201211-1545-002,Discontinue,1/29/2016,1/29/2016,Approved,2016
1545-0170,TREAS/IRS,Corporation Application for Quick Refund of Overpayment of Estimated Tax,Extension without change of a currently approved collection,9/30/2013 0:00,12/4/2013 0:00,Approved without change,12/31/2016 0:00,1,1,2016,201309-1545-006,Discontinue,12/1/2016,12/2/2016,Approved,2016
1545-0175,TREAS/IRS,Alternative Minimum Tax-Corporations,Extension without change of a currently approved collection,12/17/2012 0:00,2/21/2013 0:00,Approved without change,2/29/2016 0:00,1,1,2016,201211-1545-053,Discontinue,2/12/2016,2/12/2016,Approved,2016
1545-0217,TREAS/IRS,"Form 5735, American Samoa Economic Development Credit",Extension without change of a currently approved collection,11/30/2012 0:00,1/29/2013 0:00,Approved without change,1/31/2016 0:00,1,1,2016,201210-1545-022,Discontinue,1/29/2016,1/29/2016,Approved,2016
1545-0704,TREAS/IRS,Information Return of U.S. Persons With Respect To Certain Foreign Corporations,Extension without change of a currently approved collection,9/30/2013 0:00,12/4/2013 0:00,Approved without change,12/31/2016 0:00,4,1,2016,201309-1545-021,Discontinue,12/13/2016,12/13/2016,Approved,2016
1545-0790,TREAS/IRS,Notice of Inconsistent Treatment or Administrative Adjustment Request (AAR),Extension without change of a currently approved collection,4/25/2013 0:00,6/26/2013 0:00,Approved without change,6/30/2016 0:00,1,1,2016,201304-1545-008,Discontinue,6/17/2016,6/23/2016,Approved,2016
1545-0935,TREAS/IRS,"U.S. Income Tax Return of a Foreign Sales Corporations; Schedule P, Transfer Price or Commission",Extension without change of a currently approved collection,1/23/2013 0:00,2/25/2013 0:00,Approved without change,2/29/2016 0:00,2,2,2016,201212-1545-011,Discontinue,2/23/2016,2/23/2016,Approved,2016
1545-0938,TREAS/IRS,Interest Charge Domestic International Sales Corporation Return,Extension without change of a currently approved collection,2/28/2013 0:00,4/2/2013 0:00,Approved without change,4/30/2016 0:00,3,3,2016,201302-1545-020,Discontinue,4/8/2016,4/11/2016,Approved,2016
1545-0975,TREAS/IRS,Estimated Tax for Corporations,Revision of a currently approved collection,12/28/2012 0:00,4/10/2013 0:00,Approved without change,4/30/2016 0:00,1,4,2016,201211-1545-056,Discontinue,2/19/2016,2/22/2016,Approved,2016
1545-1014,TREAS/IRS,"Form 1066, U.S. Real Estate Mortgage Investment Conduit (REMIC) Income Tax Return; Schedule Q (Form 1066) Quarterly Notice to Residual Interest Holder of REMIC Taxable Income or Net Loss",Extension without change of a currently approved collection,11/30/2012 0:00,1/28/2013 0:00,Approved without change,1/31/2016 0:00,1,2,2016,201211-1545-033,Discontinue,1/29/2016,1/29/2016,Approved,2016
1545-1028,TREAS/IRS,INTL-941-86 (NPRM) and INTL-655-87 (Temporary) (TD 8178) Passive Foreign Investment Companies,Extension without change of a currently approved collection,12/15/2014 0:00,2/19/2015 0:00,Approved without change,9/30/2016 0:00,1,0,2016,201410-1545-006,Discontinue,9/1/2016,9/2/2016,Approved,2016
1545-1117,TREAS/IRS,"Notice 89-61, Imported Substances; Rules for Filing a Petition",Extension without change of a currently approved collection,9/30/2013 0:00,12/4/2013 0:00,Approved without change,12/31/2016 0:00,1,0,2016,201308-1545-022,Discontinue,12/8/2016,12/8/2016,Approved,2016
1545-1141,TREAS/IRS,"Notice 89-102, Treatment of Acquisition of Certain Financial Institutions; Tax Consequences of Federal Financial Assistance",Extension without change of a currently approved collection,1/31/2014 0:00,3/26/2014 0:00,Approved without change,3/31/2016 0:00,1,0,2016,201308-1545-050,Discontinue,3/29/2016,3/29/2016,Approved,2016
1545-1181,TREAS/IRS,Required Payment or Refund Under Section 7519,Extension without change of a currently approved collection,2/28/2013 0:00,4/2/2013 0:00,Approved without change,4/30/2016 0:00,1,1,2016,201302-1545-010,Discontinue,4/29/2016,4/29/2016,Approved,2016
1545-1455,TREAS/IRS,PS-80-93 (TD 8645 - Final) Rules for Certain Rental Real Estate Activities,Extension without change of a currently approved collection,6/26/2013 0:00,8/1/2013 0:00,Approved without change,8/31/2016 0:00,1,0,2016,201306-1545-013,Discontinue,8/2/2016,8/2/2016,Approved,2016
1545-1535,TREAS/IRS,Revenue Procedure 97-19 Timely Mailing Treated as Timely Filing,Extension without change of a currently approved collection,11/30/2012 0:00,1/28/2013 0:00,Approved without change,1/31/2016 0:00,1,0,2016,201211-1545-036,Discontinue,1/29/2016,1/29/2016,Approved,2016
1545-1543,TREAS/IRS,Revenue Procedure 97-29 Model Amendments and Prototype Program for SIMPLE IRAs,Extension without change of a currently approved collection,11/30/2012 0:00,1/29/2013 0:00,Approved without change,1/31/2016 0:00,5,0,2016,201211-1545-010,Discontinue,1/29/2016,1/29/2016,Approved,2016
1545-1572,TREAS/IRS,T.D. 8775 (Final) Election Not to Apply Look-Back Methods in De Minimis Cases (REG-120200-97),Extension without change of a currently approved collection,7/30/2013 0:00,9/11/2013 0:00,Approved without change,3/31/2016 0:00,1,0,2016,201304-1545-033,Discontinue,3/16/2016,3/18/2016,Approved,2016
1545-1573,TREAS/IRS,"REG-130477-00; REG-130481-00 (TD 8987 -Final), Required Distributions from Retirement Plans",Extension without change of a currently approved collection,4/29/2013 0:00,6/26/2013 0:00,Approved without change,6/30/2016 0:00,1,0,2016,202407-1545-009,Reinstatement with change of a previously approved collection,7/19/2024,9/10/2024,Approved without change,2024
1545-1625,TREAS/IRS,TD 8943 & TD 9104 - Credit for Increasing Research Activities; Revocation of Election,Extension without change of a currently approved collection,9/30/2013 0:00,12/9/2013 0:00,Approved without change,12/31/2016 0:00,1,0,2016,201308-1545-042,Discontinue,12/21/2016,12/21/2016,Approved,2016
1545-1680,TREAS/IRS,United States Additional Estate Tax Return Under Code Section 2057,Extension without change of a currently approved collection,2/28/2013 0:00,4/2/2013 0:00,Approved without change,4/30/2016 0:00,1,1,2016,201302-1545-021,Discontinue,4/22/2016,4/29/2016,Approved,2016
1545-1683,TREAS/IRS,Notice Concerning Fiduciary Relationship-Illinois Type Land Trust,Extension without change of a currently approved collection,11/30/2012 0:00,1/28/2013 0:00,Approved without change,1/31/2016 0:00,1,1,2016,201210-1545-017,Discontinue,1/29/2016,1/29/2016,Approved,2016
1545-1691,TREAS/IRS,Continuity of Interest (TD 8898),Extension without change of a currently approved collection,7/30/2013 0:00,9/11/2013 0:00,Approved without change,9/30/2016 0:00,1,0,2016,201307-1545-017,Discontinue,9/20/2016,9/20/2016,Approved,2016
